"id","osm_id","name","highway","xy_start","xy_end","length","datetime","daytime","distance","travel_time","speed"
0,320639523,"Via Cappuccini","tertiary","40.6320356,17.9237829","40.6318298,17.9235845",28.355,"2025-09-02 10:05:01.515859","day",29,4,26
1,34038719,"Piazza Sapri","unclassified","40.6262175,17.9252617","40.627026,17.9245257",109.263,"2025-09-02 10:05:01.515859","day",109,21,19
2,430287097,"Via Tor Pisana","secondary","40.6330688,17.9387304","40.6327574,17.9388492",36.011,"2025-09-02 10:05:01.515859","day",40,8,18
3,267552004,"Via Alessandro Favia","residential","40.6302918,17.9212394","40.62935997512565, 17.922229610439913",209.228,"2025-09-02 10:05:01.515859","day",133,23,21
4,271253578,"Via Dalmazia","unclassified","40.6303439,17.9396495","40.6283573,17.9404203",251.374,"2025-09-02 10:05:01.515859","day",256,65,14
6,371399349,"Viale Commenda","tertiary","40.631509463420514, 17.936458515276314","40.6292899142206, 17.93221337491293",432.391,"2025-09-02 10:05:01.515859","day",438,111,14
7,177113362,"Via Romolo","residential","40.632193,17.937292","40.630396, 17.932290",649.371,"2025-09-02 10:05:01.515859","day",466,140,12
8,177113360,"Via Numa Pompilio","tertiary","40.631544,17.9367754","40.6316171,17.9367225",9.27,"2025-09-02 10:05:01.515859","day",9,2,16
10,653559084,"Via Sant'Angelo","tertiary","40.6250114,17.931222","40.6237709,17.931391",138.494,"2025-09-02 10:05:01.515859","day",136,27,18
11,269393415,"Viale Commenda","tertiary","40.632668, 17.938726","40.6316171,17.9367225",216.247,"2025-09-02 10:05:01.515859","day",206,66,11
12,653812344,"Via Dalmazia","unclassified","40.6312696,17.9387999","40.6321926,17.9378478",130.402,"2025-09-02 10:05:01.515859","day",132,34,14
13,34038717,"Via Montebello","unclassified","40.6294124,17.9257892","40.6275495,17.923955",260.93,"2025-09-02 10:05:01.515859","day",260,58,16
14,271261222,"Via Martiri delle Ardeatine","tertiary","40.6282953,17.9393871","40.6273076,17.9409063",170.34,"2025-09-02 10:05:01.515859","day",167,19,32
15,34149866,"Via Don Giovanni Minzoni","residential","40.6295261,17.9228975","40.630224,17.9242473",138.021,"2025-09-02 10:05:01.515859","day",136,33,15
16,34063493,"Via Mogadiscio","unclassified","40.6348944,17.9330795","40.6345818,17.9332197",36.693,"2025-09-02 10:05:01.515859","day",36,8,16
17,273174247,"Viale Martiri delle Fosse Ardeatine","tertiary","40.6295813,17.9381902","40.6282953,17.9393871",175.311,"2025-09-02 10:05:01.515859","day",177,35,18
19,430287039,"Via Tor Pisana","unclassified","40.6296817,17.9417096","40.6301165,17.9413257",58.315,"2025-09-02 10:05:01.515859","day",58,11,19
20,34024892,"Via Fulvia","unclassified","40.6305909,17.9249265","40.6348944,17.9330795",839.205,"2025-09-02 10:05:01.515859","day",838,171,18
21,34063492,"Via Lucio Strabone","unclassified","40.6345818,17.9332197","40.6355268,17.9364311",293.39,"2025-09-02 10:05:01.515859","day",295,51,21
22,686325056,"Via Osanna","tertiary","40.6366326,17.9345676","40.6366139,17.9339618",51.319,"2025-09-02 10:05:01.515859","day",49,9,20
23,653815599,"Via Romolo","unclassified","40.6285049,17.9271399","40.6283248,17.9266665",44.768,"2025-09-02 10:05:01.515859","day",44,14,11
24,654298716,"Via Bezzecca","unclassified","40.6238624,17.9253274","40.6246742,17.9268147",156.509,"2025-09-02 10:05:01.515859","day",162,50,12
25,970987839,"Via Giuseppe Maria Galanti","unclassified","40.6246118,17.9291277","40.6241394,17.929566",64.265,"2025-09-02 10:05:01.515859","day",63,13,17
26,655695410,"Via Villafranca","unclassified","40.625425, 17.927101","40.6259262, 17.9281278",125.399,"2025-09-02 10:05:01.515859","day",103,43,9
27,34063497,"Via Osanna","unclassified","40.6368149,17.9339525","40.6373214,17.9314245",224.996,"2025-09-02 10:05:01.515859","day",224,106,8
