fid,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,startpoint,Endpoint,POSIZIONE,path,Distanza,output_distanza in metri,output_speed km/h,output_tempo percorrenza in secondi
27,591643204,5115,tertiary,Via del Mare,,F,0,0,F,F,"40.636199,17.9493759","40.6357879,17.9490041",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,55.5782088774467,56,29,7
28,591643205,5115,tertiary,Via del Mare,,F,0,0,F,F,"40.6365416,17.9495662","40.6362717,17.9494171",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,32.5657679028917,32,38,3
29,591643206,5115,tertiary,Via del Mare,,F,0,0,F,F,"40.6362319,17.9495408","40.6365416,17.9495662",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,34.4592037838264,35,32,4
30,591643208,5115,tertiary,Via del Mare,,B,0,0,F,F,"40.6379764,17.9492263","40.6365416,17.9495662",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,168.122981977207,168,32,19
31,653154094,5115,tertiary,Via del Mare,,F,0,0,F,F,"40.6379764,17.9492263","40.6393052,17.9486561",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,156.032703708041,157,14,39
32,653261036,5115,tertiary,Via Bastioni San Giacomo,,B,0,0,F,F,"40.6317907,17.9437119","40.6321039,17.9459428",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,191.915900370599,198,23,31
33,653416973,5115,tertiary,Corso Roma,,F,0,0,F,F,"40.6343449,17.9433481","40.6346387,17.9436377",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,40.8002509882754,43,26,6
34,686034646,5115,tertiary,Via del Mare,,F,0,0,F,F,"40.6391981,17.9483632","40.6379764,17.9492263",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,154.142894325422,155,24,23
35,788653947,5115,tertiary,Corso Roma,,B,0,0,F,F,"40.6333678,17.9424338","40.6335762,17.9426452",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,29.2473794425408,30,27,4
36,800130442,5115,tertiary,Via del Mare,,B,0,0,F,F,"40.632629,17.9470327","40.6322208,17.9464718",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,65.805195232359,66,34,7
37,800130443,5115,tertiary,Via del Mare,,B,0,0,F,F,"40.6357879,17.9490041","40.6356734,17.9489021",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,15.3663624817026,15,54,1
38,34024913,5115,tertiary,Via Nazario Sauro,,B,0,0,F,F,"40.6321603,17.9431823","40.6327765,17.9418998",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,154.155509408164,153,8,71
39,34038725,5115,tertiary,Via Bastioni San Giacomo,,B,0,0,F,F,"40.6317907,17.9437119","40.6317846,17.9436522",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,5.10534267457744,0,0,1
40,34063499,5115,tertiary,Corso Roma,,B,0,0,F,F,"40.6333678,17.9424338","40.6327765,17.9418998",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,79.7044620700969,84,15,20
41,432159683,5122,residential,Via del mare,,B,0,0,F,F,"40.6393668,17.9483306","40.6394855,17.9481199",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,22.1680953586052,594,16,135
42,432160322,5115,tertiary,Via del Mare,,B,30,0,F,F,"40.632629,17.9470327","40.6356734,17.9489021",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,377.124677034678,378,38,36
43,591643208,5115,tertiary,Via del Mare,,B,0,0,F,F,"40.6365416,17.9495662","40.6379764,17.9492263",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,168.122981977207,168,29,21
44,653261036,5115,tertiary,Via Bastioni San Giacomo,,B,0,0,F,F,"40.6321039,17.9459428","40.6317907,17.9437119",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,191.915900370599,198,22,32
45,788653947,5115,tertiary,Corso Roma,,B,0,0,F,F,"40.6335762,17.9426452","40.6333678,17.9424338",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,29.2473794425408,30,22,5
46,800130442,5115,tertiary,Via del Mare,,B,0,0,F,F,"40.6322208,17.9464718","40.632629,17.9470327",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,65.805195232359,66,34,7
47,800130443,5115,tertiary,Via del Mare,,B,0,0,F,F,"40.6356734,17.9489021","40.6357879,17.9490041",EXT,C:/Users/franc/Desktop/FRANCESCA#1/DOTTORATO/PRIN-OUTFIT/QGIS_PRIN/Agg.141024/CENTRO_BRINDISI.gpkg|layername=strade_ext,15.3663624817026,15,54,1
